Builder,Title,Type,Size (bytes),Local File,Source URL,Downloaded,Building Details (extracted)
Dale Alcock,Home brochure icon Specification,brochure,91747,D:\Coleen\app\assets\dale_alcock\DalesSpecification_Flyer-June-2026.pdf,https://www.dalealcock.com.au/wp-content/uploads/2026/06/DalesSpecification_Flyer-June-2026.pdf,2026-07-23 12:22:22,"Specification list. KITCHEN EXTERNAL LAUNDRY – Stainless steel 900mm gas hotplate – 2c brick construction – 20mm stone bench tops – Stainless steel 900mm or 600mm oven – Cream mortar with rolled joints – 300x300mm tiled floors and skirtings (as per plan) – Cavity wall insulation included to all – Washing machine recess and tap set – Stainless steel 900mm canopy cavity walls – Stainless steel inset laundry trough and rangehood – Jason Windows Sentry single glazed laminated cupboard – 1000mm wide island bench (as per plan) front entry door – Gooseneck mixer to laundry trough – 20mm stone bench tops – Two external garden taps – Four shelves to linen storage where – Undermount double bowl sink – Colorbond® roof cover with 25 degree applicable – Choice of premium mixers in a range roof pitch – Square tile insert floor wastes of colours – Entry door handle with double deadlocks ELECTRICAL – Soft close drawer and cupboard – Weather seals to all external doors door system – Brick paved driveway, portico/porch/ – Neutral wiring throughout – ABS edging and stylish handles to verandah and alfresco – 4 x LED lights in major rooms (primary cupboards and drawers, with option – Rectangular downpipes to face bedroom, theatre, living, dining and of textured or sheen finished fronts brickwork, round downpipes to render alfresco) – Dishwasher recess with cold water – H2 treated pine roof frame – 2 x LED lights in minor bedrooms, study and power connection and/or activity – Jason Windows residential sliding doors – Choice of tiled or glass splash back to and windows with flyscreens – RCD safety switches rear of bench top, including to underside – Recessed plasterboard to raised ceiling – Two hard-wired smoke detectors with of range hood not including returns in alfresco (as per plan) battery back-up – Built-in or walk-in pantry (as per plan) – Electric heat pump hot water system – 2 x Double power points to every room with 4 white lined shelves – 1 x Waterproof GPO to alfresco FACADE BATHROOM / ENSUITE / POWDER ROOM – Electrical switch plate covers and GPOs – Feature facade with texture coating – External light points – Vanity cupboards with quality basins to front with 2c face brickwork to and chrome pop-up waste – Three-phase power supply remainder (single storey designs only) – 20mm stone bench tops – Colorbond® fascia and slotted quarter – Choice of premium tap mixers round gutters – Anti-scald tempering valve from hot water supply GARAGE – Quality back to wall toilet suites with – Double garage with grano hardstand soft close seats – Fibre cement sheeting to ceiling – Slimline mirrors, the width of the vanity – Colorbond® sectional garage door with or polished edge on clips quiet motor (two remote handsets) – Freestanding acrylic bath – Flush fit pelmet to garage door (size as per plan) – Hobless showers INTERNAL - GENERAL – Choice of quality wall tiles and – Full painted ceilings, doors, door frames, 300x300mm floor tiles within builders timberwork, eaves and meterbox specification – Ducted reverse cycle air conditioning – 2m high tiling to showers with clear and smart controller glazed semi frameless pivot doors – High 31c ceilings to kitchen, living, – Mitred tiling to wet areas (if applicable) dining on single storey designs* – Range of premium shower heads and – Flush panel redicote doors shower rails – Designer leverset handles – Double towel rails with matching toilet – Privacy lock to bathrooms and toilet roll holders doors – Soap holders in showers – Slimline mirrored sliding robe doors – Square tile insert floor wastes – Protective metal corner beading strips to trafficable internal walls – Cove cornice to ceiling *Ceiling height as per plan. This specification is applicable at time of signing. It is a general guide of the standard inclusions for this specification. A fully comprehensive addenda will be provided with the contract documents incorporating a complete list of items including changes that have been made in the contract quotation. Block location and developer guidelines may require additional items to be added to the specification (including BAL and noise requirements), talk to your New Homes Consultant for more information. South West specification may differ. The builder reserves the right to alter products to at least equivalent should products become obsolete or there is a change of supplier. June 2026. BC5409. Specification list. VISION SERIES ONLY - SINGLE STOREY (IF APPLICABLE) – Choice of facades (3+ styles to choose from) – High 30c ceilings throughout entire home on single storey designs. Garage to remain at 27c – Provide 27c high external sliding doors throughout DESIGNER SPECIFICATION (IF APPLICABLE) – High 31c ceilings throughout entire home. Garage at 28c. – Provide 28c high external sliding doors throughout – 1200mm wide island bench (as per plan) – 28c internal door height – Overhead cupboards to kitchen – One contrast colour to cabinetry – Provisions for fridge plumbing installed – Stainless steel 900m integrated rangehood – T-bar pelmet to garage – Choice from range of floor options in entry, hallways, kitchen, living and dining. Choice from range of carpets to remainder of home Date: Signed: *Ceiling height as per plan. This specification is applicable at time of signing. It is a general guide of the standard inclusions for this specification. A fully comprehensive addenda will be provided with the contract documents incorporating a complete list of items including changes that have been made in the contract quotation. Block location and developer guidelines may require additional items to be added to the specification (including BAL and noise requirements), talk to your New Homes Consultant for more information. South West specification may differ. The builder reserves the right to alter products to at least equivalent should products become obsolete or there is a change of supplier. June 2026. BC5409."
Dale Alcock,Floorplans icon Floorplan,brochure,771189,D:\Coleen\app\assets\dale_alcock\Oriana-Vision-Series-Brochure.pdf,https://www.dalealcock.com.au/wp-content/uploads/2024/12/Oriana-Vision-Series-Brochure.pdf,2026-07-23 12:22:19,Oriana VISION SERIES 4 2 15m suggested lot width Ground Floor 185.04m Double Garage 35.14m Alfresco 10.54m Porch 2.23m Total 232.95 Bed 4 3.9 x 2.8 Bed 3 3.8 x 2.7 Alfresco Living 3.4 x 3.1 Bed 2 3.9 x 2.7 8.0 x 4.5 Kitchen overall Dining Theatre 4.3 x 3.5 Wip Wir C MH 660 x 560 Double Garage Entry Primary Bed 3.9 x 3.8 Office 3.6 x 2.4 Porch
Novus Homes,Download Brochure,brochure,2324049,D:\Coleen\app\assets\novus_homes\NOVUS2023679_20The_20Moorings_20Brochure_20SEPT_2023_2020pp_FINAL_20LOW_20RES.pdf,https://www.novushomes.com.au/sites/default/files/2023-09/NOVUS2023679%20The%20Moorings%20Brochure%20SEPT%2023%2020pp_FINAL%20LOW%20RES.pdf,2026-07-23 12:29:32,"On the banks of the Swan Located on the banks of the Swan River, just a stone’s throw from the CBD, The Moorings is a set of unique, custom homes built by the multi-award winning Novus Homes. One of Perth’s most sought after locations PERTH CBD CROWN RESORT & CASINO OPTUS STADIUM BELMONT RACE COURSE ST JOHN OF GOD HOSPITAL MOUNT LAWLEY ENTERTAINMENT PRECINCT - (3 MINS) MAYLANDS TRAIN STATION - (4 MINS) MAYLANDS PARK SHOPPING CENTRE - (4 MINS) MAYLANDS YACHT CLUB BERRINGA PARK BARDON NATURE PARK & PLAYGROUND 5 7 FOURTH FOURTH AVENUE AVENUE EAST EAST Located adjacent to the Maylands Yacht Club on Fourth Avenue, just 7 minutes from the Perth CBD, the Moorings offers: 7A FOURTH AVENUE EAST • Parks and public open spaces • Excellent public transport links 7B right on your doorstep (via bus or train) FOURTH AVENUE EAST • Walking trails • City and river views 7C (including Optus Stadium) FOURTH AVENUE EAST • Mount Lawley Cafe strip and shopping precinct • Maylands Golf Course 11 VIEW STREET • Bars and restaurants (including Lyric • And so much more! Lane & The Seasonal Brewing Co.) Live your best life in this exclusive Maylands location Just minutes away from the Perth CBD, right on the banks of the Swan River, The Moorings sits in the most desirable part of Maylands. The location provides easy access to the city’s many amenities and attractions and is also well connected via public transportation links. The area has a diverse and vibrant community, with a wide range of shops, cafes and restaurants and is also home to many parks and green spaces, making it an attractive option for those looking for a balance of city living and suburban tranquillity. Introducing our Riverside Homes These ‘Riverside Homes’ form part of the The Moorings development • Ducted reverse cycle air conditioning throughout and consist of two green titled custom homes built by the multi-award • Landscaping and paving winning Novus Homes, and include: • Approved development plans • Unique, contemporary elevations • Green titled land • Generous living spaces • 25 year structural builders guarantee • High ceilings throughout • Beautifully appointed Kitchens, Bathrooms and Laundry’s 5 Fourth Avenue East HOW IT MEASURES UP UNDERCROFT UPPER FLOOR Garage . . . . 79.54m2 Living . . . . . 133.05m2 Living . . . . . 26.89m2 Balcony 2. . . . 23.32m2 Porch . . . . . . 9.26m2 TTOOTTAALL.. .. .. .. .. 115566..3377mm22 TTOOTTAALL.. .. .. .. .. .. 111155..6699mm22 GGRRAANNDD TTOOTTAALL GROUND FLOOR 444433..7733mm22 Living . . . . . 130.92m2 Balcony 1 . . . .29.41m2 Alfresco. . . . . 11.34m2 TTOOTTAALL.. .. .. .. .. .. 117711..6677mm22 WM REC DRY REC 17 LIFT SHAFT STR FL @ -02c 5 6 R D E W C 4 3 2 1 UP GARAGE 11.59 X 5.79 GRA 3 N 2 O c C @ L -1c W/O ENTRY CL 32c R/HOOD C/TOP STORE PORCH CL 31c PAVING @ -01c NENIL ROBE DN 16 15 14 13 12 27 26 25 24 23 22 21 20 19 18 UP FR REC NENIL GUEST BED 3.90 X 3.58 CL 32c GUEST ENS CL 29c ALFRESCO L'DRY 3.57 X 3.15 CL 32c CL 29c PDR TILED @ -01c CL 29c LIFT DINING SHAFT 4.71 X 4.97 CL 32c SCUL CL 29c KITCHEN CL 32c LIVING 5.54 X 4.76 CL 32c BALCONY 1 8.54 X 3.25 CL 32c EBOR LINEN DN 34 3 3 2 3 ROBE 31 30 29 28 27 26 25 24 23 22 21 20 19 18 NENIL BED 3 4.14 X 3.26 CL 31c BATH CL 31c BED 2 WC 3.11 X 4.10 CL 31c CL 31c LIFT SHAFT CL 31c WC CL 31c NOOK WIR CL 31c CL 31c ENSUITE CL 31c RETREAT 3.90 X 4.45 CL 31c MASTER SUITE 4.00 X 4.50 CL 31c BALCONY 2 8.54 X 2.68 CL 29c UNDERCROFT GROUND FLOOR UPPER FLOOR All images are for illustration purposes only. All pricing excludes the following: Decorator items & freestanding furniture. Specific light fittings & layout. Ceramic tile size & selection. Window treatments. Extras may apply with some Colour selections depicted. Refer to the detailed Letter of Quote & Specification for further detail. Price and specification is subject to change without notification. 7 Fourth Avenue East HOW IT MEASURES UP DR REC WM REC. LIFT R D E W C FL @ -02c 17161514 STORE DN 13 12 11 10 10 9 9 7 8 C R O /H O O K O TO D P 6 5 22 GARAGE UP UP 11.59 X 5.70 1 2 3 4 1718192021 32c CL GRANO @ -4c ENTRY CL 32c PORCH CL 32c PAVING @ -01c All images are for illustration purposes only. All pricing excludes the following: Decorator items & freestanding furniture. Specific light fittings & layout. Ceramic tile size & selection. Window treatments. Extras may apply with some Colour selections depicted. Refer to the detailed Letter of Quote & Specification for further detail. Price and specification is subject to change without notification. NENIL ROBE GUEST BED 4.00 X 4.00 CL 32c ALFRESCO 3.57 X 3.07 CL 32c PAVING @ -01c GUEST ENS L'DRY CL 29c CL 29c PDR 1 SCULLERY CL 29c LIFT CL 28c 3433 31 W M / W O KITCHEN DN CL 28c 2 3 9 0 28 DINING 27 4.23 X 5.21 2 2 5 6 CL 32c 24 23 22 181920 21 FR REC LIVING BALCONY 1 4.67 X 5.93 CL 32c 4.75 X 3.88 CL 32c EBOR EBOR UNDERCROFT UPPER FLOOR Garage . . . . 76.29m2 Living . . . . . 137.67m2 Living . . . . . 29.65m2 Balcony 2. . . . 21.21m2 Porch . . . . . . 8.82m2 TTOOTTAALL.. .. .. .. .. 115588..8888mm22 TTOOTTAALL.. .. .. .. .. .. 111144..7766mm22 GGRRAANNDD TTOOTTAALL GROUND FLOOR 444400..8800mm22 Living . . . . . 134.51m2 Balcony 1 . . . .21.39m2 Alfresco. . . . . 11.26m2 TTOOTTAALL.. .. .. .. .. 116677..1166mm22 BED 3 3.72 X 3.40 CL 31c BATH CL 31c PDR 2 CL 31c BED 2 WIL 4.22 X 3.20 CL 31c CL 31c LIFT CL 31c WC CL 28c 32 WIR ENSUITE CL 31c CL 31c 23 MASTER SUITE 3.91 X 4.76 CL 31c RETREAT 3.55 X 3.90 CL 31c BALCONY 2 8.69 X 2.42 CL 29c UNDERCROFT GROUND FLOOR UPPER FLOOR HOW IT MEASURES UP GROUND FLOOR Living . . . . . . . . . . . . 113.56m2 Garage . . . . . . . . . . . 42.41m2 Alfresco. . . . . . . . . . . 17.49m2 Porch . . . . . . . . . . . . 2.49m2 TTOOTTAALL.. .. .. .. .. .. .. .. .. .. .. .. 117755..9955mm22 FIRST FLOOR Living . . . . . . . . . . . 122.00m2 Balcony. . . . . . . . . . . 14.68m2 TTOOTTAALL.. .. .. .. .. .. .. .. .. .. .. .. 113366..6688mm22 GGRRAANNDD TTOOTTAALL .. .. .. .. .. .. 331122..6633mm22 MW REC C/TOP OVEN DW REC HWU 7 6 5 4 3 2"
Novus Homes,Download our company brochure,brochure,1419558,D:\Coleen\app\assets\novus_homes\NOVUS2023692BrandBrochureMAR23.pdf,https://www.novushomes.com.au/sites/default/files/2023-05/NOVUS2023692BrandBrochureMAR23.pdf,2026-07-23 12:29:18,"novushomes.com.au DESIGNED FOR LIVING LIVE YOUR BEST LIFE If you can dream it, we can build it. Nothing but Not only to suit your budget, but your lifestyle too. With our ‘tailored design’ the best service you can amend existing plans. Or with our ‘custom design’ service you can start from scratch. This is your chance to create the ultimate home: The choice is entirely yours. a space that works perfectly for you, your lifestyle and the people you love most. After all, isn’t that what building is all about? Creating a home where you can live your best life. At Novus we’re committed to delivering a home that epitomises the very best that life has to offer. Which is why, right from the outset, we work closely with you – to listen carefully to your ideas and to ensure they become a reality. OVER 30 YEARS OF AWARD WINNING HOMES Only the best will do At Novus we work hard to be the best, so you can live your best life. From the moment we draw your first sketch to the day we hand over your keys and beyond our focus is on providing only the best possible level of personalised service. It always has been. Ever since our business began more than 30 years ago. Since then we have built hundreds of homes, with much of our business coming from word of mouth. We are proud of the relationships we build with our clients and look forward to getting to know you too. A FOCUS ON QUALITY Best practice best build At Novus Homes, we’re here to put your mind at ease – by ensuring that every single project we undertake is built upon the following best practices. DESIGN SERVICE You’re going to have lots of ideas on how you want your new home to Biggest, in the home building industry, is often far from being best. look and function. And our award-winning, in-house design team will be Novus Homes is not, by any stretch of the imagination, a high volume sure to listen to all of them. We take the time to gain a true insight into project builder. Instead, our relatively small size means we know the way you live in order to create a home that is uniquely ‘yours’ and fits your name, we know your job inside out, and we deliver a level of your lifestyle perfectly. personalised service expected of a premium building company. QUALITY OF CONSTRUCTION PEACE OF MIND The best materials. The best trades people. The best quality finish. Seriously guarding our hard-earned reputation. Committing to instill These aren’t just your expectations; they’re our Directors too. our work ethic into everyone in the company. That’s what the Antonelli Which is why Paul and his father, Lino, inspect every single Novus family has been doing for over 30 years. That’s what we continue to do MEET THE ANTONELLI FAMILY home before we hand over the keys, ensuring each one meets our today. And that’s why you can be supremely confident in your decision For more than 30 years Novus Homes has been owned and operated by the Antonelli family. exceptionally high standards. to partner with Novus Homes. Lino (Director) and his son Paul (Managing Director) believe in honesty above all else. They believe in being transparent. More than anything, they believe in providing every single one of our valued clients with a quality of home and a level of service second to none. A REPUTATION BUILT ON EXCELLENCE in class Best 135 and counting. That’s how many MBA and HIA Awards we’ve won for building excellence over the past 30 years. An impressive number for a boutique size builder. Not that we like to be self-congratulatory, of course. But it is nice to have the peace of mind that, when you build with Novus Homes, you are building with one of the best and most highly awarded builders in the industry. AUSTRALIA’S BEST DISPLAY HOME Each year a selection of homes from around Australia are nominated as the best of the best. It is the pinnacle of both the HIA and MBA Excellence in Building and Construction Awards and provides a benchmark for the highest quality builders and trends in housing design. In 2018 the Paragon was voted the best display home in Australia, taking out the National Display Home of the Year Award. In 2019 the Mandalay was awarded the HIA Golden Key Award for Perth’s Best Display Home, going on to win the national award in 2020 for the HIA Australian Display Home of the Year. And in 2022 Novus was again awarded the HIA Golden Key Award, this time for the Zenith, taking out WA’s Best Display Home. HOMES FOR EVERY LIFESTYLE of Best both worlds Browse through our wide range of homes and you are sure to find a design that is perfect for whatever stage you are at in life, along with the right price to suit your budget. We have two series’ to choose from: Sophisticated and contemporary homes designed to help you live your best life. Built with a level of master craftsmanship that you expect from a premium builder. LIKE TO KNOW MORE? We sincerely hope so. Whether you are considering creating an individually designed home, or are interested in any of our wide range of existing designs, please call 9240 8001 to speak to one of our friendly building consultants or visit any of our display centres in Perth. We look forward to talking to you soon. Innovative construction techniques combined with an emphasis on cutting edge design delivering you affordable luxury. www.novushomes.com.au 32 Mumford Place Balcatta WA 6021 I Telephone: 08 9240 8001 I BC8967 © Novus Homes | All plans and information in this brochure copyright protected by Novus Homes. Antonelli Investments ACN 059 245 617."
WB Home Builders,DOWNLOAD THE BESSER LOOKBOOK,brochure,2671097,D:\Coleen\app\assets\wb_home_builders\11000WBN-Display-Lookbooks-Digital-TheBesser.pdf,https://www.wbhomes.com.au/wp-content/uploads/2025/10/11000WBN-Display-Lookbooks-Digital-TheBesser.pdf,2026-07-23 12:34:59,"koobkooL RESSEB EHT THE BESSER Lookbook koobkooL RESSEB EHT a curated study in TEXTURE, and LIGHT FORM This lookbook is a curated showcase of The Besser. A home defined by its striking materiality and architectural clarity. Rooted in the principles of Gentle Brutalism, the design pairs strong, linear forms with soft and tactile finishes. Each page captures the way design and daily life converge, revealing a home that’s as considered as it is personal. koobkooL RESSEB EHT 1 Contrast Fronts Polytec Woodmatt in Plantation Asht 4 2 Flooring MatchUp tile 1 in Coffee Mix 3 Cupboard Fronts 7 Polytec Woodmatt in Black Plyt 4 Rangehood Polar Wall Cylinder 6 Canopy Rangehood in Black 5 3 5 Island Benchtop Caesarstone in Fresh Concrete 2 6 Appliance Benchtop Caesarstone in Raven 7 Wall Tiles Imagination Peak in White Embossed Satin koobkooL RESSEB EHT 2 3 1 1 Balustrade Frameless glass with matt black standoff 4 2 Walls Wattyl’s Calcium 3 Staircase Flooring Woodpecker Flooring Engineered Timber in Ginger 4 Wine Rack Charcoal powder- coated steel mesh panel with smoked mirror backing and integrated LED lighting koobkooL RESSEB EHT 3 1 2 4 1 Feature Wall Austral Masonry in Porceline 5 2 Cabinetry Polytec Woodmatt in Black Ply 3 External Doors Jason Windows Aluminium Window in Charcoal Lustre 4 Island Tapware Mizu Trace Sink Mixer 5 Island Sink Franke City Fragranite Single Bowl koobkooL RESSEB EHT 1 Carpet Park Regis in Freeman 2 2 Pendant Lighting Amphis Joni in Black 3 Feature Wall Austral Masonry in Porceline 3 1 koobkooL RESSEB EHT 4 6 1 5 3 2 1 Benchtop 2 Floor Tiles 3 Cupboards 4 Wall Tile 5 Bath 6 Tapware Caesarstone MatchUp tile in Polytec Woodmatt in Imagination Peak in Posh Domaine Back To Millie Trace Shower in Raven Coffee Mix Ash Woodmatt White Embossed Satin Wall Freestanding Bath Mixer in Chrome koobkooL RESSEB EHT 3 1 Windows Jason Windows Aluminium Window in Charcoal Lustre 2 Driveway Grass cell pavers 1 with crushed summerstone infill 4 5 3 Render Dulux in Casper White Quarter 4 Garage Door Thermoflat in Monument 2 5 Feature Wall Austral Masonry in Porceline"
WB Home Builders,DOWNLOAD THE BROOKTON LOOKBOOK,brochure,5543353,D:\Coleen\app\assets\wb_home_builders\11000WBN-Display-Lookbooks-Digital-TheBrookton.pdf,https://www.wbhomes.com.au/wp-content/uploads/2025/10/11000WBN-Display-Lookbooks-Digital-TheBrookton.pdf,2026-07-23 12:34:53,"koobkooL NOTKOORB EHT THE BROOKTON Lookbook koobkooL NOTKOORB EHT A curated study in NATURE, and SHAPES TEXTURE. This lookbook is a curated showcase of The Brookton. A home drawing inspiration from the West Australian vernacular, characterised by abundant sunlight, natural timbers, complementary touches of stone and rustic brickwork. Each page captures the way design and daily life converge, revealing a home that’s as considered as it is personal. koobkooL NOTKOORB EHT 6 5 1 Benchtop Caesarstone in Raw 4 Concrete 1 2 Cabinets Polytec Smooth 2 Thermolaminate in 3 Aston White Profile: Calcutta 3 Feature Cabinet Polytec Woodmatt in Notaio Walnut 4 Mixer Tap Caroma Opal Sink Mixer in Brushed Nickel 5 Wall Tiles Terra Crea in Mattone with Spakko 6 Lighting Amphis’s Joni in White koobkooL NOTKOORB EHT 1 4 2 1 Feature Brick Austral Bricks Sculptured Sands in Calcite 2 Walls Wattyl’s Floral White 3 Flooring Woodpecker Flooring 3 Engineered Timber in Brown Sugar 4 Windows Jason Window Aluminium Window in Pearl White koobkooL NOTKOORB EHT 5 3 4 1 TV Cabinet Benchtop Caesarstone in Raw Concrete 1 2 Cabinetry Polytec Smooth Thermolaminate in 2 Aston White Profile: Calcutta 3 Cabinetry Shelving Polytec Woodmatt in Notaio Walnut 4 External Doors Jason Windows Aluminium Window in Pearl White 5 Walls Wattyl’s Floral White koobkooL NOTKOORB EHT 2 1 Balustrade Laminex Frame VJ Cladding 2 Pendant Light Amphis’s Joni in White 3 Flooring Woodpecker Flooring Engineered Timber in Brown Sugar 3 1 1 koobkooL NOTKOORB EHT 5 6 1 3 4 2 Benchtop Floor Tiles Cupboards Bath Tapware Basin 1 2 3 4 5 6 Caesarstone in Marazzi Porcelain Polytec Smooth Posh Domaine Mizu Silk Roca Inspira Organic White Tile in Avignone Thermolaminate in Back to Wall Extended Basin Mixer Soft Rectangle Above Aris Edge Profile Aston White Freestanding Bath in Brushed Nickell Counter Basin Profile: Calcutta koobkooL NOTKOORB EHT 5 1 Windows Jason Windows 1 Pearl White 3 2 Driveway Exposed Aggregate in Sandstone 3 Cladding Feature Cladding in Wattyl’s Tuz Lake 6 4 4 Garage Door Thermoflat in Natural White 5 Roof Colorbond in 2 Dover White 6 Feature Bricks Austral Bricks Sculptured Sands in Calcite"
WB Home Builders,DOWNLOAD THE WOODLANDS LOOKBOOK,brochure,4837598,D:\Coleen\app\assets\wb_home_builders\11000WBN-Display-Lookbooks-Digital-TheWoodlands-1.pdf,https://www.wbhomes.com.au/wp-content/uploads/2025/10/11000WBN-Display-Lookbooks-Digital-TheWoodlands-1.pdf,2026-07-23 12:34:46,"koobkooL SDNALDOOW EHT THE WOODLANDS Lookbook koobkooL SDNALDOOW EHT A curated study in CURVES, and NATURAL MATERIALS This lookbook is a curated showcase of The Woodlands. A home that captures the essence of a holiday retreat within a residential setting that seamlessly blends traditional and modern design elements. Each page captures the way design and daily life converge, revealing a home that’s as considered as it is personal. koobkooL SDNALDOOW EHT 5 1 Benchtop Caesarstone in 4 6 Alpine Mist 2 Cabinets Polytec Smooth Thermolaminate in Habitat 1 Profile: Hampton 3 Flooring Engineered Timber in 2 Blackbutt 4 Wall Tiles Fire Fingers Mosaic Tile in White Gloss 5 Lighting Totana Pendant Light 3 in White 6 Refrigerator Fisher and Paykel Integrated with French Door koobkooL SDNALDOOW EHT 4 2 1 1 Balustrade Aluminium Flat Bar Internal Balustrade 2 Walls Wattyl’s Kitty Grey 3 Staircase Flooring Blackbutt Engineered Timber 3 4 Lighting Calido Flare Shade in White Linen koobkooL SDNALDOOW EHT 1 3 2 1 Cabinetry Polytec Woodmatt in Tasmanian Oak 2 Walls Wattyl’s Kitty Grey 3 Windows Jason Windows Aluminium Window in Pearl White 4 4 Flooring Blackbutt Engineered Timber koobkooL SDNALDOOW EHT 2 1 Carpet Charlesbourg in Fennel Seed 2 Cupboards Polytec Smooth Thermolaminate in Aston White Profile: Hampton 3 Bed Head Polytec Woodmatt in Tasmanian Oak 3 1 koobkooL SDNALDOOW EHT 4 6 1 3 5 2 1 Benchtop 2 Floor Tiles 3 Cupboards 4 Wall Tile 5 Bath 6 Tapware Caesarstone in RockSalt Matt in Polytec Smooth RockSalt Matt in Kado Lux Oval Mizu Silk Bath Outlet in Alpine Mist Smoke Thermolaminate in Smoke Freestanding Bath Brushed Gunmetal Aston White Profile: Hampton koobkooL SDNALDOOW EHT 1 Windows 1 3 Jason Windows Aluminium Window in Pearl White 2 Driveway Salted finish concrete 5 4 3 Render Dulux in Beige Royal 4 Garage Door Castellated profile in Pearl White 2 5 Feature Wall Rammed Earth with Intonachino Coarse finish"
WB Home Builders,Example of a file download Download Brochure for THE SAGE,brochure,2523765,D:\Coleen\app\assets\wb_home_builders\The-Sage-Brochure.pdf,https://www.wbhomes.com.au/wp-content/uploads/2019/09/The-Sage-Brochure.pdf,2026-07-23 12:34:39,"THE SAGE 12m FRONTAGE PHOTO Ground Floor 121.71621.7A6lfresco 15.20 Upper Floor 112.31512.3P5orch 1.83 Garage 35.5835.5B8alcony 20.99 307.71 m² TTOOTTAALL 307.71 m² xx 44 xx 2 10,890 BED 4 4.1 x 2.9 ALFRESCO 8,890 3.8 x 4.0 BED 3 3.0 x 3.6 ENS SITTING MASTER SUITE 3.7 x 4.0 WIR 3.5 x 4.0 WC BATH 0 9 PDR 9 WIP ,8 1 LINEN BED 2 WIL 0 KITCHEN 4.3 x 3.0 9 9 ,5 1 DINING L'DRY 4.4 x 3.9 N A L P N R A O L ENTRY P O GARAGE R L 6.0 x 6.0 STUDY O F 3.0 x 4.1 O LIVING D N L F BALCONY 4.4 x 4.1 U R O E 4.0 x 5.1 PORCH P R P G U The copyright of this design is the sole property of ABN WA Residential Pty. Ltd. trading as 1:100 SCALE WBHOMES.COM.AU Webb & Brown-Neaves Homes and there is no implied licence for its use for any purpose. BC5409 ©"
WB Home Builders,Example of a file download Download Brochure for THE BREEZE,brochure,1970891,D:\Coleen\app\assets\wb_home_builders\BREEZE-BROCHURE-PLAN-2.pdf,https://www.wbhomes.com.au/wp-content/uploads/2019/09/BREEZE-BROCHURE-PLAN-2.pdf,2026-07-23 12:34:29,"THE BREEZE 10m FRONTAGE Ground Floor 115.40 Porch 4.88 Upper Floor 107.45 Alfresco 12.29 Garage 35.15 TOTAL 275.17 m² x 4 x 3 8,890 DINING ALFRESCO 4.2 x 3.2 3.3 x 3.6 6,790 N E H C T IK BED 2 BED 3 LIVING 3.1 x 3.7 3.1 x 3.7 4.6 x 4.1 SCULLERY WC L'DRY BATH GUEST ENS 0 9 6 ,1 2 0 9 8 ,7 ACTIVITY GUEST BED 1 3.5 x 3.7 3.9 x 3.8 WC WIR SK O ENSUITE N ENTRY O H A TA O L C P N GARAGE A R O 5.7 x 5.7 L P O R L O F MASTER SUITE O D PORCH L 4.0 x 3.7 N F U R O E P R P G U © COPYRIGHT OF THIS DESIGN IS THE SOLE PROPERTY OF WEBB & BROWN-NEAVES AND 1:100 SCALE WBHOMES.COM.AU THERE IS NO IMPLIED LICENCE FOR ITS USE FOR ANY PURPOSE. BC5409"
WB Home Builders,Example of a file download Download Brochure for THE NEST II,brochure,1554788,D:\Coleen\app\assets\wb_home_builders\THE-NEST-II-BROCHURE-PLAN-1.pdf,https://www.wbhomes.com.au/wp-content/uploads/2020/09/THE-NEST-II-BROCHURE-PLAN-1.pdf,2026-07-23 12:34:23,"THE NEST II 15m FRONTAGE GROUND FLOOR 177.71 ALFRESCO 15.89 PHOTO UPPER FLOOR 136.12 STORE 10.12 GARAGE 37.48 PORCH 2.56 TOTAL 379.88 m² x 4 x 2 13,490 ALFRESCO 4.5 x 3.5 N E H DINING 7.5 x 5.0 LIVING C T IK 10,090 Y R RECESS E L L WIP U C S PDR BED 4 BED 3 0 4.1 x 2.9 4.2 x 2.9 9 5 ,2 LAUNDRY N EN THEATRE 2 IL 4.2 x 5.1 WC WC BED 2 3.0 x 4.0 VOID OVER STORE BATH 0 9 VOID ENSUITE WIR 4 ,3 1 N A L P N ENTRY GARAGE A R O 5.9 x 6.0 L P RETREAT O R 9.6 x 4.8 L MASTER SUITE O F D 4.5 x 4.1 O L N F U R O PORCH E P R P G U © COPYRIGHT OF THIS DESIGN IS THE SOLE PROPERTY OF WEBB & BROWN-NEAVES AND 1:100 SCALE WBHOMES.COM.AU THERE IS NO IMPLIED LICENCE FOR ITS USE FOR ANY PURPOSE. BC5409"
